drug_id,drug_name,drug_class,form,strength,stock_on_hand,reorder_level,lead_time_days,unit_cost,expiry_date
D5328,STAT_D5328,Antibiotic,Injection,50mg,79,70,15,177.36,2025-04-09
D5329,STAT_D5329,Antihypertensive,Tablet,5mg,323,97,26,192.17,2025-03-02
D5330,STAT_D5330,Analgesic,Injection,5mg,94,100,18,138.07,2026-10-28
D5331,STAT_D5331,Analgesic,Injection,100mg,23,64,26,19.94,2024-10-20
D5332,STAT_D5332,Antihypertensive,Tablet,5mg,252,74,4,81.26,2025-12-27
D5333,STAT_D5333,Antihypertensive,Capsule,20mg,148,87,1,24.46,2024-01-08
D5334,STAT_D5334,Analgesic,Injection,20mg,118,26,29,148.6,2026-01-10
D5335,STAT_D5335,Antihypertensive,Injection,5mg,309,58,27,17.88,2026-01-25
D5336,STAT_D5336,Analgesic,Injection,20mg,337,41,12,116.65,2026-06-22
D5337,STAT_D5337,Analgesic,Injection,50mg,336,64,4,73.98,2025-11-07
D5338,STAT_D5338,Antibiotic,Syrup,20mg,56,41,9,65.37,2026-06-12
D5339,STAT_D5339,Antihypertensive,Capsule,10mg,420,95,7,147.96,2024-06-09
D5340,STAT_D5340,Antibiotic,Tablet,20mg,123,78,9,138.23,2026-11-10
D5341,STAT_D5341,Analgesic,Capsule,20mg,167,61,4,13.87,2025-02-17
D5342,STAT_D5342,Antihypertensive,Injection,100mg,126,22,18,187.32,2026-09-28
D5343,STAT_D5343,Analgesic,Tablet,100mg,278,65,1,133.1,2025-06-25
D5344,STAT_D5344,Analgesic,Syrup,100mg,18,89,12,54.6,2025-03-07
D5345,STAT_D5345,Antidepressant,Injection,5mg,181,53,15,75.2,2024-02-24
D5346,STAT_D5346,Antihypertensive,Syrup,20mg,380,83,24,145.93,2025-09-30
D5347,STAT_D5347,Antidepressant,Injection,10mg,475,93,24,105.96,2025-11-22
D5348,STAT_D5348,Antidiabetic,Capsule,10mg,136,57,7,178.08,2024-02-08
D5349,STAT_D5349,Antibiotic,Injection,50mg,213,46,23,12.77,2024-06-18
D5350,STAT_D5350,Antidepressant,Injection,5mg,420,47,10,160.81,2025-02-16
D5351,STAT_D5351,Antidiabetic,Capsule,5mg,125,62,21,128.33,2025-08-10
D5352,STAT_D5352,Antihypertensive,Injection,5mg,375,73,8,120.17,2026-01-02
D5353,STAT_D5353,Antihypertensive,Syrup,10mg,116,69,1,46.65,2025-06-02
D5354,STAT_D5354,Analgesic,Tablet,20mg,375,53,17,122.95,2025-02-26
D5355,STAT_D5355,Antidiabetic,Capsule,50mg,189,65,16,199.59,2025-05-27
D5356,STAT_D5356,Antibiotic,Syrup,50mg,237,49,1,83.92,2025-11-12
D5357,STAT_D5357,Antidiabetic,Capsule,50mg,69,75,18,28.67,2026-04-11
D5358,STAT_D5358,Antidepressant,Injection,50mg,323,96,8,68.03,2025-07-28
D5359,STAT_D5359,Antihypertensive,Capsule,50mg,230,61,4,171.44,2025-04-05
D5360,STAT_D5360,Antidepressant,Syrup,5mg,433,71,4,139.65,2024-09-28
D5361,STAT_D5361,Antihypertensive,Capsule,100mg,221,46,5,124.23,2026-06-17
D5362,STAT_D5362,Antidepressant,Injection,20mg,55,80,25,82.53,2025-08-17
D5363,STAT_D5363,Antihypertensive,Capsule,100mg,236,35,7,135.03,2024-11-15
D5364,STAT_D5364,Antidiabetic,Tablet,10mg,126,98,30,194.27,2026-08-08
D5365,STAT_D5365,Antibiotic,Tablet,5mg,469,41,8,146.84,2026-10-06
D5366,STAT_D5366,Antihypertensive,Injection,50mg,318,72,26,126.49,2025-05-21
D5367,STAT_D5367,Antidepressant,Syrup,20mg,303,87,28,72.21,2026-09-21
D5368,STAT_D5368,Analgesic,Capsule,10mg,146,93,8,93.94,2024-05-26
D5369,STAT_D5369,Antidiabetic,Tablet,5mg,297,59,8,195.52,2026-02-21
D5370,STAT_D5370,Antidepressant,Injection,5mg,26,58,27,85.66,2026-07-24
D5371,STAT_D5371,Analgesic,Syrup,5mg,178,27,19,38.2,2024-12-21
D5372,STAT_D5372,Analgesic,Syrup,20mg,491,70,2,61.03,2025-03-07
D5373,STAT_D5373,Antihypertensive,Injection,20mg,269,41,29,86.92,2024-10-24
D5374,STAT_D5374,Analgesic,Capsule,50mg,132,71,5,137.62,2024-07-20
D5375,STAT_D5375,Antidiabetic,Injection,20mg,357,45,16,156.99,2026-10-03
D5376,STAT_D5376,Antihypertensive,Syrup,20mg,453,51,6,12.12,2025-05-26
D5377,STAT_D5377,Antidiabetic,Capsule,5mg,453,56,24,139.12,2026-08-02
D5378,STAT_D5378,Antidepressant,Capsule,5mg,233,65,11,95.77,2025-10-10
D5379,STAT_D5379,Antibiotic,Syrup,10mg,306,65,7,62.42,2025-04-18
D5380,STAT_D5380,Antidepressant,Capsule,100mg,302,88,17,199.47,2025-12-30
D5381,STAT_D5381,Antihypertensive,Capsule,20mg,155,61,29,49.11,2026-11-30
D5382,STAT_D5382,Antidiabetic,Syrup,10mg,416,48,13,138.48,2024-08-18
D5383,STAT_D5383,Analgesic,Injection,50mg,399,88,17,166.9,2024-10-15
D5384,STAT_D5384,Antihypertensive,Tablet,50mg,289,38,5,167.55,2024-06-22
D5385,STAT_D5385,Antidiabetic,Capsule,50mg,153,24,5,32.33,2024-01-08
D5386,STAT_D5386,Analgesic,Tablet,5mg,56,51,9,42.32,2025-08-16
D5387,STAT_D5387,Antidiabetic,Tablet,100mg,230,66,3,134.74,2025-10-07
D5388,STAT_D5388,Analgesic,Capsule,10mg,214,47,12,52.21,2025-02-03
D5389,STAT_D5389,Antibiotic,Capsule,100mg,169,28,29,159.31,2024-03-28
D5390,STAT_D5390,Antibiotic,Syrup,100mg,69,60,27,96.19,2024-11-20
D5391,STAT_D5391,Antibiotic,Syrup,10mg,365,78,21,59.1,2024-04-16
D5392,STAT_D5392,Antibiotic,Syrup,10mg,245,25,11,163.96,2024-06-26
D5393,STAT_D5393,Antidepressant,Syrup,20mg,396,90,21,67.11,2024-05-18
D5394,STAT_D5394,Antihypertensive,Syrup,5mg,396,99,12,24.1,2025-09-07
D5395,STAT_D5395,Antidiabetic,Syrup,5mg,65,55,28,20.01,2024-10-01
D5396,STAT_D5396,Antidepressant,Tablet,20mg,159,80,27,42.5,2026-04-28
D5397,STAT_D5397,Analgesic,Capsule,50mg,94,45,27,135.65,2026-12-24
D5398,STAT_D5398,Antihypertensive,Tablet,10mg,389,94,11,49.66,2026-07-06
D5399,STAT_D5399,Analgesic,Injection,100mg,241,48,7,164.15,2024-09-29
D5400,STAT_D5400,Antidiabetic,Injection,50mg,224,29,21,135.04,2024-12-02
D5401,STAT_D5401,Antibiotic,Tablet,5mg,294,72,11,40.79,2025-04-12
D5402,STAT_D5402,Antibiotic,Tablet,10mg,495,29,29,49.64,2026-11-16
D5403,STAT_D5403,Antihypertensive,Capsule,5mg,86,68,19,168.34,2025-04-03
D5404,STAT_D5404,Analgesic,Injection,20mg,370,39,15,199.43,2024-11-30
D5405,STAT_D5405,Antibiotic,Syrup,10mg,499,55,13,160.51,2024-03-13
D5406,STAT_D5406,Antidepressant,Capsule,5mg,445,47,9,95.28,2025-06-04
D5407,STAT_D5407,Analgesic,Tablet,100mg,339,94,27,111.78,2025-07-12
D5408,STAT_D5408,Antihypertensive,Syrup,5mg,400,43,30,144.09,2024-01-14
D5409,STAT_D5409,Antidiabetic,Injection,50mg,74,78,18,148.24,2025-11-26
D5410,STAT_D5410,Antibiotic,Tablet,5mg,123,24,11,82.28,2024-03-23
D5411,STAT_D5411,Antidepressant,Tablet,20mg,160,23,18,101.66,2024-01-31
D5412,STAT_D5412,Antidiabetic,Capsule,100mg,237,65,29,198.48,2024-10-26
D5413,STAT_D5413,Antidiabetic,Capsule,10mg,127,31,17,81.78,2024-08-28
D5414,STAT_D5414,Antidepressant,Syrup,10mg,232,23,9,144.25,2026-02-02
D5415,STAT_D5415,Antidiabetic,Capsule,5mg,40,34,30,15.04,2024-03-01
D5416,STAT_D5416,Antihypertensive,Syrup,50mg,431,49,22,18.85,2026-08-01
D5417,STAT_D5417,Antidepressant,Syrup,20mg,92,68,18,167.81,2026-09-29
D5418,STAT_D5418,Antidiabetic,Injection,50mg,366,78,7,161.69,2025-07-11
D5419,STAT_D5419,Antibiotic,Syrup,20mg,319,34,5,158.86,2024-10-01
D5420,STAT_D5420,Analgesic,Injection,20mg,86,22,28,198.32,2026-11-26
D5421,STAT_D5421,Antibiotic,Syrup,100mg,242,82,29,196.45,2026-03-08
D5422,STAT_D5422,Antihypertensive,Syrup,50mg,410,28,14,176.1,2025-02-19
D5423,STAT_D5423,Antidiabetic,Injection,50mg,318,47,25,118.74,2024-12-20
D5424,STAT_D5424,Antidepressant,Capsule,10mg,338,61,11,163.61,2026-03-26
D5425,STAT_D5425,Antidiabetic,Syrup,20mg,190,47,3,29.19,2025-01-15
D5426,STAT_D5426,Antibiotic,Injection,5mg,411,47,5,194.19,2025-12-21
D5427,STAT_D5427,Analgesic,Tablet,5mg,334,71,27,153.58,2024-09-17
D5428,STAT_D5428,Antibiotic,Syrup,100mg,240,25,17,28.88,2026-03-05
D5429,STAT_D5429,Analgesic,Syrup,20mg,94,60,24,190.77,2026-03-31
D5430,STAT_D5430,Antibiotic,Tablet,100mg,287,35,27,109.28,2024-09-20
D5431,STAT_D5431,Antihypertensive,Capsule,100mg,216,44,4,29.02,2024-02-13
D5432,STAT_D5432,Antibiotic,Tablet,5mg,151,41,17,44.4,2025-12-20
D5433,STAT_D5433,Antihypertensive,Syrup,20mg,475,91,14,143.75,2025-02-12
D5434,STAT_D5434,Antidiabetic,Tablet,20mg,127,24,6,140.17,2025-06-13
D5435,STAT_D5435,Analgesic,Syrup,100mg,203,70,17,173.49,2025-07-23
D5436,STAT_D5436,Antidepressant,Injection,100mg,301,46,5,140.97,2026-11-01
D5437,STAT_D5437,Analgesic,Injection,10mg,191,59,15,129.99,2024-05-24
D5438,STAT_D5438,Analgesic,Tablet,5mg,185,27,6,112.49,2025-09-22
D5439,STAT_D5439,Antibiotic,Injection,20mg,50,46,7,122.31,2024-10-27
D5440,STAT_D5440,Antidiabetic,Capsule,50mg,193,84,2,24.23,2024-09-30
D5441,STAT_D5441,Antidepressant,Tablet,10mg,371,53,16,185.58,2026-01-25
D5442,STAT_D5442,Antidepressant,Syrup,20mg,182,48,18,6.91,2024-12-19
D5443,STAT_D5443,Antidepressant,Syrup,50mg,459,73,4,64.06,2024-12-17
D5444,STAT_D5444,Antidiabetic,Capsule,5mg,225,58,2,180.04,2024-05-01
D5445,STAT_D5445,Analgesic,Syrup,20mg,95,93,2,179.63,2025-04-05
D5446,STAT_D5446,Antihypertensive,Tablet,100mg,419,65,5,161.18,2024-04-17
D5447,STAT_D5447,Antihypertensive,Injection,5mg,390,92,26,171.74,2026-09-14
D5448,STAT_D5448,Antidepressant,Capsule,100mg,55,74,10,19.33,2024-03-12
D5449,STAT_D5449,Antidepressant,Syrup,20mg,382,30,3,121.84,2025-08-19
D5450,STAT_D5450,Antibiotic,Injection,50mg,96,23,9,81.56,2026-01-19
D5451,STAT_D5451,Antidiabetic,Syrup,20mg,411,71,17,181.15,2024-11-03
D5452,STAT_D5452,Analgesic,Injection,100mg,199,70,9,31.96,2026-11-16
D5453,STAT_D5453,Antihypertensive,Capsule,50mg,90,25,11,136.09,2024-07-02
D5454,STAT_D5454,Analgesic,Tablet,20mg,326,90,27,163.78,2026-07-23
D5455,STAT_D5455,Antibiotic,Injection,50mg,153,27,4,63.66,2025-10-14
D5456,STAT_D5456,Antidepressant,Tablet,10mg,1,66,9,197.76,2025-04-29
D5457,STAT_D5457,Analgesic,Syrup,5mg,252,97,24,102.45,2025-10-13
D5458,STAT_D5458,Analgesic,Syrup,100mg,329,72,2,100.21,2025-03-16
D5459,STAT_D5459,Antibiotic,Injection,100mg,319,34,1,159.79,2025-07-24
D5460,STAT_D5460,Antidiabetic,Injection,100mg,470,93,12,65.06,2025-11-16
D5461,STAT_D5461,Antidepressant,Tablet,10mg,285,23,4,89.96,2024-08-10
D5462,STAT_D5462,Antidepressant,Tablet,100mg,390,27,4,16.01,2026-08-16
D5463,STAT_D5463,Analgesic,Tablet,10mg,173,25,25,56.74,2025-07-14
D5464,STAT_D5464,Antidepressant,Tablet,20mg,333,34,1,194.74,2024-11-18
D5465,STAT_D5465,Antibiotic,Tablet,20mg,298,75,1,78.46,2026-05-06
D5466,STAT_D5466,Antihypertensive,Injection,20mg,500,76,15,151.16,2024-04-07
D5467,STAT_D5467,Antibiotic,Capsule,20mg,477,47,5,83.77,2025-09-25
D5468,STAT_D5468,Antihypertensive,Injection,5mg,163,36,15,64.63,2025-11-02
D5469,STAT_D5469,Antidiabetic,Capsule,100mg,408,45,30,132.12,2026-12-23
D5470,STAT_D5470,Antidepressant,Capsule,20mg,205,35,1,93.13,2024-09-09
D5471,STAT_D5471,Antihypertensive,Injection,10mg,105,41,15,37.55,2025-04-01
D5472,STAT_D5472,Antidiabetic,Capsule,5mg,134,53,17,194.88,2025-11-16
D5473,STAT_D5473,Antibiotic,Injection,50mg,297,100,14,198.03,2024-04-28
D5474,STAT_D5474,Antibiotic,Injection,100mg,182,89,1,164.98,2025-08-14
D5475,STAT_D5475,Antihypertensive,Syrup,20mg,455,84,5,184.29,2025-05-20
D5476,STAT_D5476,Antihypertensive,Injection,100mg,368,56,14,5.61,2026-12-26
D5477,STAT_D5477,Antidepressant,Capsule,50mg,199,44,17,118.85,2025-12-07
D5478,STAT_D5478,Analgesic,Tablet,100mg,215,83,3,163.1,2025-01-29
D5479,STAT_D5479,Antidiabetic,Capsule,100mg,282,99,3,178.06,2026-02-08
D5480,STAT_D5480,Analgesic,Tablet,50mg,163,91,20,6.72,2026-03-20
D5481,STAT_D5481,Antidiabetic,Tablet,50mg,26,25,6,196.58,2025-09-21
D5482,STAT_D5482,Antibiotic,Tablet,20mg,214,74,21,160.9,2026-06-06
D5483,STAT_D5483,Antibiotic,Injection,50mg,169,92,1,185.64,2025-12-26
D5484,STAT_D5484,Antihypertensive,Injection,50mg,329,78,7,8.99,2024-05-25
D5485,STAT_D5485,Antibiotic,Capsule,10mg,41,81,26,124,2024-05-17
D5486,STAT_D5486,Antihypertensive,Capsule,10mg,255,54,26,26.94,2025-09-20
D5487,STAT_D5487,Antibiotic,Capsule,100mg,200,25,9,197.13,2024-05-11
D5488,STAT_D5488,Analgesic,Capsule,50mg,366,69,10,154.59,2026-10-08
D5489,STAT_D5489,Antidepressant,Capsule,20mg,451,97,25,120.81,2024-05-31
D5490,STAT_D5490,Antidepressant,Syrup,20mg,225,47,20,174.96,2025-07-02
D5491,STAT_D5491,Antidiabetic,Tablet,50mg,91,79,19,57.76,2024-09-06
D5492,STAT_D5492,Analgesic,Capsule,5mg,227,42,26,139.4,2026-04-08
D5493,STAT_D5493,Analgesic,Syrup,20mg,21,40,7,146.51,2024-07-13
D5494,STAT_D5494,Antibiotic,Injection,5mg,468,52,13,109.37,2024-08-27
D5495,STAT_D5495,Antidiabetic,Syrup,20mg,127,67,21,171.35,2025-09-07
D5496,STAT_D5496,Antidepressant,Tablet,5mg,150,91,17,29.47,2025-08-17
D5497,STAT_D5497,Antidepressant,Tablet,50mg,171,34,29,158.6,2024-03-03
D5498,STAT_D5498,Antibiotic,Capsule,20mg,214,78,2,68.73,2026-12-12
D5499,STAT_D5499,Antidiabetic,Capsule,100mg,234,48,30,60.99,2024-06-25
D5500,STAT_D5500,Analgesic,Injection,5mg,260,94,22,160.41,2024-10-05
D5501,STAT_D5501,Antidiabetic,Injection,20mg,458,74,8,24.37,2026-10-04
D5502,STAT_D5502,Analgesic,Syrup,50mg,53,96,1,137.44,2025-10-10
D5503,STAT_D5503,Antidiabetic,Tablet,50mg,322,90,22,88.53,2024-10-29
D5504,STAT_D5504,Analgesic,Tablet,50mg,129,94,22,108.04,2025-05-07
D5505,STAT_D5505,Antidiabetic,Tablet,50mg,150,82,23,155.55,2025-07-07
D5506,STAT_D5506,Analgesic,Syrup,100mg,56,81,7,58.04,2026-08-04
D5507,STAT_D5507,Analgesic,Capsule,100mg,19,27,9,106.73,2025-04-14
D5508,STAT_D5508,Analgesic,Capsule,20mg,227,85,28,62.65,2024-03-01
D5509,STAT_D5509,Antihypertensive,Syrup,50mg,248,100,8,101.71,2024-09-08
D5510,STAT_D5510,Antidiabetic,Capsule,5mg,209,63,12,78.22,2025-02-07
D5511,STAT_D5511,Analgesic,Capsule,100mg,187,39,3,37.31,2025-07-04
D5512,STAT_D5512,Antihypertensive,Tablet,20mg,46,39,15,146.78,2026-05-05
D5513,STAT_D5513,Antihypertensive,Injection,10mg,35,91,28,150.94,2026-02-20
D5514,STAT_D5514,Antihypertensive,Injection,10mg,191,30,20,15.75,2024-11-30
D5515,STAT_D5515,Antidepressant,Tablet,5mg,441,83,15,188.12,2024-08-16
D5516,STAT_D5516,Analgesic,Tablet,20mg,331,90,9,143.62,2024-10-17
D5517,STAT_D5517,Analgesic,Injection,5mg,267,97,11,80.43,2025-10-23
D5518,STAT_D5518,Antidepressant,Injection,20mg,88,20,13,144.46,2026-10-19
D5519,STAT_D5519,Antihypertensive,Tablet,100mg,153,64,10,60.77,2025-08-18
D5520,STAT_D5520,Antidepressant,Tablet,10mg,246,75,10,156.52,2026-12-01
D5521,STAT_D5521,Antidepressant,Syrup,50mg,153,32,7,59.02,2024-09-06
D5522,STAT_D5522,Antibiotic,Capsule,5mg,460,33,26,56.69,2024-10-03
D5523,STAT_D5523,Analgesic,Syrup,5mg,222,57,11,185.56,2024-10-27
D5524,STAT_D5524,Analgesic,Tablet,20mg,104,42,3,6.21,2026-04-22
D5525,STAT_D5525,Antidepressant,Syrup,100mg,335,85,16,41.85,2025-05-30
D5526,STAT_D5526,Analgesic,Capsule,100mg,272,86,28,177.15,2026-11-15
D5527,STAT_D5527,Antidepressant,Capsule,50mg,408,94,14,53.42,2025-03-23
D5528,STAT_D5528,Antidiabetic,Capsule,100mg,76,29,22,122.66,2025-11-12
D5529,STAT_D5529,Antihypertensive,Injection,100mg,214,27,1,132.26,2024-11-08
D5530,STAT_D5530,Antihypertensive,Injection,10mg,498,65,9,115.13,2025-01-23
D5531,STAT_D5531,Antibiotic,Capsule,5mg,169,67,16,53.03,2026-04-12
D5532,STAT_D5532,Antidiabetic,Tablet,50mg,357,89,20,29.68,2026-11-07
D5533,STAT_D5533,Antidiabetic,Tablet,5mg,321,83,23,7.09,2026-05-04
D5534,STAT_D5534,Antihypertensive,Syrup,10mg,28,33,23,31.32,2026-10-05
D5535,STAT_D5535,Antibiotic,Tablet,50mg,140,35,19,44.64,2026-10-23
D5536,STAT_D5536,Antidepressant,Tablet,10mg,333,52,13,139.26,2026-08-12
D5537,STAT_D5537,Antidiabetic,Injection,20mg,494,21,8,79.29,2025-12-21
D5538,STAT_D5538,Analgesic,Capsule,100mg,483,82,13,80.53,2025-10-20
D5539,STAT_D5539,Antihypertensive,Tablet,50mg,99,92,7,66.28,2025-12-30
D5540,STAT_D5540,Antibiotic,Injection,20mg,211,65,16,89.2,2025-10-07
D5541,STAT_D5541,Antibiotic,Injection,5mg,112,86,12,22.77,2026-08-02
D5542,STAT_D5542,Antihypertensive,Tablet,50mg,353,33,26,37.52,2026-12-06
D5543,STAT_D5543,Antidepressant,Injection,100mg,235,91,19,35.03,2025-12-31
D5544,STAT_D5544,Antihypertensive,Injection,100mg,432,44,19,55.18,2024-07-12
D5545,STAT_D5545,Antibiotic,Syrup,10mg,448,63,7,173.2,2026-08-12
D5546,STAT_D5546,Antidiabetic,Tablet,10mg,475,45,27,189.64,2026-12-26
D5547,STAT_D5547,Antidepressant,Tablet,100mg,213,25,15,94.47,2026-10-02
D5548,STAT_D5548,Antidepressant,Capsule,10mg,268,38,29,107.77,2025-03-02
D5549,STAT_D5549,Antibiotic,Tablet,5mg,53,69,6,63.87,2025-05-08
D5550,STAT_D5550,Antidepressant,Injection,100mg,462,43,19,10.74,2025-07-03
D5551,STAT_D5551,Antidepressant,Syrup,10mg,459,33,19,166.73,2024-04-17
D5552,STAT_D5552,Antihypertensive,Tablet,5mg,224,92,19,59.3,2025-07-16
D5553,STAT_D5553,Analgesic,Syrup,5mg,177,64,9,121.65,2025-04-27
D5554,STAT_D5554,Antihypertensive,Capsule,20mg,272,25,13,91.51,2026-10-26
D5555,STAT_D5555,Antidiabetic,Capsule,50mg,364,99,13,153.06,2026-01-17
D5556,STAT_D5556,Antidepressant,Syrup,10mg,376,68,30,48.85,2025-09-02
D5557,STAT_D5557,Antibiotic,Capsule,100mg,171,54,1,193.58,2025-07-30
D5558,STAT_D5558,Antidiabetic,Capsule,5mg,494,63,11,141.35,2025-05-26
D5559,STAT_D5559,Antihypertensive,Capsule,5mg,152,97,1,86.07,2026-02-24
D5560,STAT_D5560,Antidiabetic,Capsule,50mg,479,27,3,27.05,2025-05-19
D5561,STAT_D5561,Antidepressant,Capsule,10mg,166,58,6,87.25,2024-05-07
D5562,STAT_D5562,Antidepressant,Capsule,100mg,406,45,14,99.21,2025-07-18
D5563,STAT_D5563,Antidepressant,Tablet,10mg,283,72,23,20.57,2025-03-27
D5564,STAT_D5564,Antidiabetic,Tablet,10mg,416,74,27,27.89,2026-09-18
D5565,STAT_D5565,Antihypertensive,Syrup,5mg,239,22,7,15.11,2024-07-30
D5566,STAT_D5566,Antidepressant,Syrup,100mg,12,51,2,104.39,2024-09-26
D5567,STAT_D5567,Analgesic,Tablet,5mg,33,88,10,88.5,2025-04-18
D5568,STAT_D5568,Analgesic,Capsule,50mg,484,35,18,27.43,2026-06-19
D5569,STAT_D5569,Antidepressant,Tablet,20mg,388,67,19,133.19,2026-01-30
D5570,STAT_D5570,Antibiotic,Injection,10mg,234,38,26,107.83,2025-12-30
D5571,STAT_D5571,Antibiotic,Syrup,100mg,115,27,19,186.72,2024-12-29
D5572,STAT_D5572,Analgesic,Capsule,20mg,459,60,20,35.43,2026-02-27
D5573,STAT_D5573,Analgesic,Syrup,50mg,59,79,6,95.69,2025-11-24
D5574,STAT_D5574,Antidepressant,Tablet,10mg,171,96,1,75.19,2025-05-03
D5575,STAT_D5575,Analgesic,Syrup,20mg,86,100,15,97.87,2024-09-16
D5576,STAT_D5576,Antidepressant,Capsule,100mg,309,89,7,161.99,2026-02-02
D5577,STAT_D5577,Analgesic,Injection,20mg,477,72,19,68.15,2026-11-16
D5578,STAT_D5578,Antidepressant,Capsule,100mg,18,33,28,148.75,2025-11-01
D5579,STAT_D5579,Analgesic,Tablet,50mg,122,29,22,111.46,2025-09-22
D5580,STAT_D5580,Antibiotic,Syrup,50mg,270,50,26,77.62,2026-01-24
D5581,STAT_D5581,Analgesic,Capsule,20mg,34,95,11,126.49,2025-04-10
D5582,STAT_D5582,Antihypertensive,Syrup,5mg,291,92,19,131.46,2026-01-27
D5583,STAT_D5583,Antidiabetic,Capsule,20mg,157,88,10,184.48,2024-11-18
D5584,STAT_D5584,Antidepressant,Syrup,100mg,160,47,10,174.08,2024-02-01
D5585,STAT_D5585,Antidiabetic,Syrup,10mg,262,52,5,110.69,2026-01-31
D5586,STAT_D5586,Antihypertensive,Capsule,100mg,450,57,11,129.83,2024-09-17
D5587,STAT_D5587,Antibiotic,Injection,100mg,322,100,26,171.03,2025-07-31
D5588,STAT_D5588,Antibiotic,Injection,10mg,296,95,18,66.13,2024-04-27
D5589,STAT_D5589,Antidepressant,Tablet,50mg,11,88,16,187.74,2026-08-28
D5590,STAT_D5590,Antidiabetic,Syrup,50mg,60,92,4,20.42,2025-04-07
D5591,STAT_D5591,Antihypertensive,Syrup,50mg,40,70,15,67.67,2024-08-05
D5592,STAT_D5592,Antibiotic,Tablet,20mg,343,29,7,83.7,2025-05-06
D5593,STAT_D5593,Analgesic,Capsule,5mg,178,83,7,65.86,2025-02-27
D5594,STAT_D5594,Antidiabetic,Syrup,50mg,256,31,24,118.61,2025-11-26
D5595,STAT_D5595,Antihypertensive,Injection,5mg,173,70,5,115.2,2024-05-18
D5596,STAT_D5596,Antibiotic,Tablet,100mg,254,99,3,174.31,2024-02-13
D5597,STAT_D5597,Analgesic,Syrup,20mg,331,48,16,141.12,2025-09-17
D5598,STAT_D5598,Antidiabetic,Syrup,20mg,226,53,13,59.22,2026-09-03
D5599,STAT_D5599,Analgesic,Tablet,50mg,382,37,5,196.65,2024-03-20
D5600,STAT_D5600,Analgesic,Injection,20mg,99,61,18,93.83,2026-05-25
D5601,STAT_D5601,Analgesic,Tablet,5mg,436,87,6,163.97,2025-02-10
D5602,STAT_D5602,Antidepressant,Injection,10mg,387,40,22,55.49,2026-05-04
D5603,STAT_D5603,Analgesic,Injection,50mg,219,29,12,12.21,2025-04-19
D5604,STAT_D5604,Antidepressant,Capsule,50mg,156,36,14,24.97,2024-04-04
D5605,STAT_D5605,Antibiotic,Injection,100mg,264,62,19,17.17,2026-10-05
D5606,STAT_D5606,Antidiabetic,Injection,100mg,188,80,11,111.38,2026-04-25
D5607,STAT_D5607,Antidiabetic,Injection,50mg,473,29,6,87.04,2026-06-21
D5608,STAT_D5608,Antidiabetic,Syrup,20mg,364,50,20,168.6,2024-12-17
D5609,STAT_D5609,Antibiotic,Capsule,10mg,4,38,23,64.08,2026-02-20
D5610,STAT_D5610,Antidepressant,Syrup,100mg,247,59,3,78.26,2024-08-03
D5611,STAT_D5611,Antidiabetic,Capsule,50mg,130,73,3,161.04,2024-01-15
D5612,STAT_D5612,Analgesic,Syrup,100mg,157,60,12,104.4,2024-01-18
D5613,STAT_D5613,Antidiabetic,Tablet,20mg,44,69,14,7.06,2025-05-22
D5614,STAT_D5614,Antidiabetic,Tablet,20mg,325,61,1,84.94,2024-11-05
D5615,STAT_D5615,Analgesic,Tablet,20mg,236,95,26,158.29,2026-01-21
D5616,STAT_D5616,Antibiotic,Injection,10mg,348,40,2,29.44,2026-04-19
D5617,STAT_D5617,Antidepressant,Injection,50mg,283,28,12,40.74,2024-03-10
D5618,STAT_D5618,Antihypertensive,Tablet,20mg,426,55,2,193.95,2026-06-30
D5619,STAT_D5619,Antihypertensive,Tablet,20mg,244,90,20,99.05,2024-11-17
D5620,STAT_D5620,Analgesic,Tablet,50mg,415,33,19,192.29,2024-09-23
D5621,STAT_D5621,Antidepressant,Syrup,20mg,161,98,25,107.77,2024-04-14
D5622,STAT_D5622,Antidepressant,Tablet,20mg,379,60,12,197.52,2026-12-11
D5623,STAT_D5623,Antihypertensive,Syrup,50mg,235,46,17,153.55,2025-10-15
D5624,STAT_D5624,Analgesic,Syrup,5mg,492,95,26,101.31,2025-01-25
D5625,STAT_D5625,Antidepressant,Syrup,5mg,156,60,30,90.82,2025-10-03
D5626,STAT_D5626,Antihypertensive,Capsule,20mg,330,67,6,50.29,2025-01-31
D5627,STAT_D5627,Antidiabetic,Syrup,50mg,57,88,20,143.99,2025-06-18
D5628,STAT_D5628,Antihypertensive,Injection,50mg,333,61,18,104.03,2025-11-17
D5629,STAT_D5629,Antibiotic,Syrup,5mg,30,95,21,138.23,2024-07-22
D5630,STAT_D5630,Antibiotic,Capsule,5mg,319,100,5,6.22,2026-11-11
D5631,STAT_D5631,Antibiotic,Injection,50mg,47,59,20,187.44,2024-03-19
D5632,STAT_D5632,Antibiotic,Syrup,10mg,68,76,5,68.28,2026-06-05
D5633,STAT_D5633,Antihypertensive,Capsule,10mg,16,60,8,84.95,2026-06-24
D5634,STAT_D5634,Analgesic,Injection,10mg,459,56,1,106.94,2024-05-10
D5635,STAT_D5635,Analgesic,Tablet,5mg,402,49,3,94.27,2024-01-27
D5636,STAT_D5636,Antidiabetic,Injection,10mg,446,62,13,153.72,2024-05-28
D5637,STAT_D5637,Antidepressant,Syrup,5mg,143,27,10,162.6,2026-01-03
